"career_aspiration","avg_english_score"
"Writer","94.3750000000000000"
"Lawyer","89.6449275362318841"
"Banker","86.8224852071005917"
"Teacher","85.3898305084745763"
"Doctor","85.1764705882352941"
"Government Officer","82.4262295081967213"
"Designer","82.2857142857142857"
"Scientist","81.8205128205128205"
"Construction Engineer","81.0588235294117647"
"Software Engineer","80.8666666666666667"
"Unknown","79.7668161434977578"
"Stock Investor","79.7534246575342466"
"Game Developer","79.3015873015873016"
"Accountant","78.9444444444444444"
"Artist","78.5820895522388060"
"Real Estate Developer","77.9638554216867470"
"Business Owner","75.1326860841423948"
